year,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13,topic14,topic15,topic16,topic17,topic18,topic19
2016,0,2,2,3,0,1,1,1,0,3,0,1,0,1,1,1,2,0,0
2017,1,1,3,3,1,4,2,2,4,1,3,1,2,3,5,4,4,2,0
2018,2,1,4,1,2,6,4,8,8,1,2,6,2,2,5,4,3,6,0
2019,9,11,6,10,6,2,5,6,10,9,11,3,2,7,2,4,3,8,0
2020,24,27,8,6,21,17,11,13,14,6,19,12,9,15,6,12,14,13,0
2021,28,37,27,20,4,11,76,23,13,12,26,16,37,23,18,51,20,21,0
2022,0,2,2,1,3,2,1,1,2,0,0,2,1,1,1,0,2,0,0
